date,total_complaints,winter_maintenance,barrier_damage,bollard_damage,bollard_missing,pothole
2025-01-02,1,0,1,0,0,0
2025-01-04,1,0,0,1,0,0
2025-01-05,1,0,0,0,1,0
2025-01-06,1,0,0,1,0,0
2025-01-07,2,1,1,0,0,0
2025-01-08,1,0,0,0,1,0
2025-01-09,1,0,0,0,1,0
2025-01-10,4,1,1,1,1,0
2025-01-11,3,0,0,0,3,0
2025-01-12,2,0,1,0,1,0
2025-01-13,5,3,0,1,1,0
2025-01-14,8,5,1,0,2,0
2025-01-15,7,7,0,0,0,0
2025-01-16,2,1,0,0,1,0
2025-01-17,1,0,0,0,0,1
2025-01-18,2,1,0,0,0,1
2025-01-21,1,1,0,0,0,0
2025-01-23,1,0,1,0,0,0
2025-01-24,3,1,1,0,1,0
2025-01-26,2,0,1,0,1,0
2025-01-27,2,0,0,0,2,0
2025-01-28,2,0,1,1,0,0
2025-01-30,8,7,1,0,0,0
2025-01-31,3,2,0,0,0,1
2025-02-01,1,0,1,0,0,0
2025-02-03,1,0,1,0,0,0
2025-02-04,3,1,0,0,2,0
2025-02-05,2,1,0,1,0,0
2025-02-07,3,1,0,1,1,0
2025-02-08,1,0,0,1,0,0
2025-02-10,3,1,1,1,0,0
2025-02-11,4,3,0,0,1,0
2025-02-12,2,0,0,0,2,0
2025-02-14,11,9,2,0,0,0
2025-02-15,2,2,0,0,0,0
2025-02-16,2,0,2,0,0,0
2025-02-17,1,0,0,0,1,0
2025-02-18,10,10,0,0,0,0
2025-02-19,50,49,1,0,0,0
2025-02-20,24,23,0,0,1,0
2025-02-21,18,18,0,0,0,0
2025-02-22,23,20,3,0,0,0
2025-02-23,11,11,0,0,0,0
2025-02-24,30,25,3,0,1,1
2025-02-25,11,7,1,1,2,0
2025-02-26,17,14,1,0,1,1
2025-02-27,6,3,0,0,1,2
2025-02-28,13,6,2,0,4,1
2025-03-01,5,1,1,1,0,2
2025-03-02,2,2,0,0,0,0
2025-03-03,7,2,1,3,1,0
2025-03-04,6,4,2,0,0,0
2025-03-05,6,2,1,0,2,1
2025-03-06,9,6,1,2,0,0
2025-03-07,3,0,0,1,2,0
2025-03-08,2,0,1,1,0,0
2025-03-09,5,1,1,0,0,3
2025-03-10,6,0,2,1,1,2
2025-03-11,7,0,2,3,2,0
2025-03-12,6,0,3,1,2,0
2025-03-13,6,0,5,0,1,0
2025-03-14,11,0,4,2,2,3
2025-03-15,3,0,1,0,1,1
2025-03-17,8,0,2,3,3,0
2025-03-18,7,0,5,0,1,1
2025-03-19,8,0,5,0,3,0
2025-03-20,8,0,3,1,2,2
2025-03-21,3,0,1,0,2,0
2025-03-22,2,0,0,0,2,0
2025-03-24,9,0,3,4,1,1
2025-03-25,5,0,3,0,2,0
2025-03-26,4,0,0,2,2,0
2025-03-27,5,0,3,0,2,0
2025-03-28,3,0,3,0,0,0
2025-03-29,2,0,0,0,2,0
2025-03-30,1,0,1,0,0,0
2025-03-31,1,0,0,0,1,0
2025-04-01,2,0,1,1,0,0
2025-04-02,1,0,0,1,0,0
2025-04-03,5,0,2,2,1,0
2025-04-04,2,0,0,0,1,1
2025-04-05,3,0,2,0,1,0
2025-04-06,3,0,2,0,0,1
2025-04-07,4,0,0,0,3,1
2025-04-08,4,0,1,1,2,0
2025-04-09,6,0,2,1,2,1
2025-04-10,2,0,1,1,0,0
2025-04-11,1,0,1,0,0,0
2025-04-12,4,0,1,0,2,1
2025-04-14,1,0,0,0,0,1
2025-04-15,1,0,0,0,1,0
2025-04-16,3,0,2,1,0,0
2025-04-17,4,0,2,0,2,0
2025-04-18,1,0,0,1,0,0
2025-04-19,1,0,0,0,1,0
2025-04-20,1,0,1,0,0,0
2025-04-21,2,0,1,0,1,0
2025-04-22,4,0,3,1,0,0
2025-04-23,5,0,2,0,3,0
2025-04-24,2,0,0,0,2,0
2025-04-25,5,0,0,2,3,0
2025-04-26,2,0,0,0,2,0
2025-04-27,2,0,1,0,1,0
2025-04-28,2,0,1,0,1,0
2025-04-29,5,0,0,1,3,1
2025-04-30,13,0,9,3,0,1
2025-05-01,3,0,1,1,0,1
2025-05-02,1,0,0,0,1,0
2025-05-03,4,0,0,0,0,4
2025-05-04,3,0,2,0,1,0
2025-05-05,3,0,2,0,1,0
2025-05-07,3,0,1,0,0,2
2025-05-08,2,0,0,1,1,0
2025-05-09,1,0,0,0,1,0
2025-05-10,1,0,1,0,0,0
2025-05-11,1,0,0,0,1,0
2025-05-12,6,0,2,0,3,1
2025-05-13,6,0,1,1,1,3
2025-05-14,4,0,0,2,2,0
2025-05-15,5,0,1,0,2,2
2025-05-16,5,0,0,0,3,2
2025-05-17,3,0,1,0,1,1
2025-05-18,1,0,1,0,0,0
2025-05-20,4,0,2,1,0,1
2025-05-21,3,0,0,1,2,0
2025-05-23,4,0,2,0,1,1
2025-05-24,2,0,0,0,2,0
2025-05-25,7,0,0,0,7,0
2025-05-26,7,0,3,3,1,0
2025-05-27,3,0,2,0,1,0
2025-05-28,3,0,0,0,1,2
2025-05-29,6,0,3,1,1,1
2025-05-30,3,0,2,1,0,0
2025-05-31,2,0,1,0,1,0
2025-06-01,3,0,0,0,1,2
2025-06-02,4,0,0,0,1,3
2025-06-03,3,0,2,0,1,0
2025-06-04,3,0,1,1,0,1
2025-06-05,5,0,1,0,1,3
2025-06-06,1,0,0,1,0,0
2025-06-07,1,0,0,0,0,1
2025-06-09,2,0,1,1,0,0
2025-06-10,3,0,1,0,2,0
2025-06-11,2,0,1,0,0,1
2025-06-12,3,0,0,2,1,0
2025-06-13,3,0,1,0,1,1
2025-06-14,1,0,0,1,0,0
2025-06-15,1,0,0,0,1,0
2025-06-16,2,0,0,0,2,0
2025-06-17,6,0,2,1,2,1
2025-06-18,2,0,1,0,0,1
2025-06-19,4,0,1,0,2,1
2025-06-20,4,0,1,2,1,0
2025-06-22,2,0,0,0,2,0
2025-06-23,4,0,1,0,1,2
2025-06-24,3,0,1,1,1,0
2025-06-25,3,0,1,0,0,2
2025-06-26,3,0,1,1,0,1
2025-06-30,2,0,1,0,0,1
2025-07-01,1,0,1,0,0,0
2025-07-02,1,0,0,0,0,1
